discoUso,porcentagemDisco,porcentagemCpu,ramUso,porcentagemRam,porcentagemBateria,hrCaptura,lote
227.05,47.7,12.0,8307.02,71.5,100.0,22-05-2025 13:07:50,1
227.05,47.7,7.7,8307.16,71.5,100.0,22-05-2025 13:07:50,1
227.05,47.7,0.0,8307.07,71.5,100.0,22-05-2025 13:07:50,1
227.05,47.7,12.5,8306.98,71.4,100.0,22-05-2025 13:07:50,1
227.05,47.7,18.8,8307.0,71.5,100.0,22-05-2025 13:07:50,1
227.05,47.7,28.6,8307.14,71.5,100.0,22-05-2025 13:07:50,1
227.05,47.7,0.0,8307.07,71.5,100.0,22-05-2025 13:07:50,1
227.05,47.7,18.8,8306.97,71.4,100.0,22-05-2025 13:07:50,1
227.05,47.7,18.8,8306.97,71.4,100.0,22-05-2025 13:07:50,1
227.05,47.7,29.4,8306.12,71.4,100.0,22-05-2025 13:07:50,1
227.05,47.7,12.5,8306.01,71.4,100.0,22-05-2025 13:07:50,1
227.05,47.7,0.0,8305.94,71.4,100.0,22-05-2025 13:07:50,1
227.05,47.7,31.2,8306.0,71.4,100.0,22-05-2025 13:07:50,1
227.05,47.7,18.8,8305.93,71.4,100.0,22-05-2025 13:07:50,1
227.05,47.7,22.2,8305.85,71.4,100.0,22-05-2025 13:07:50,1
227.05,47.7,0.0,8305.91,71.4,100.0,22-05-2025 13:07:50,1
227.05,47.7,18.8,8305.74,71.4,100.0,22-05-2025 13:07:50,1
227.05,47.7,41.2,8305.8,71.4,100.0,22-05-2025 13:07:50,1
227.05,47.7,25.0,8305.64,71.4,100.0,22-05-2025 13:07:50,1
227.05,47.7,75.0,8305.64,71.4,100.0,22-05-2025 13:07:50,1
227.05,47.7,0.0,8305.47,71.4,100.0,22-05-2025 13:07:50,1
227.05,47.7,18.8,8305.46,71.4,100.0,22-05-2025 13:07:50,1
227.05,47.7,31.2,8305.36,71.4,100.0,22-05-2025 13:07:50,1
227.05,47.7,7.1,8305.36,71.4,100.0,22-05-2025 13:07:50,1
227.05,47.7,25.0,8305.4,71.4,100.0,22-05-2025 13:07:50,1
227.05,47.7,0.0,8305.52,71.4,100.0,22-05-2025 13:07:50,1
227.05,47.7,25.0,8307.2,71.5,100.0,22-05-2025 13:07:50,1
227.05,47.7,25.0,8308.14,71.5,100.0,22-05-2025 13:07:50,1
227.05,47.7,25.0,8309.13,71.5,100.0,22-05-2025 13:07:50,1
227.05,47.7,22.2,8310.59,71.5,100.0,22-05-2025 13:07:50,1
227.05,47.7,69.6,8312.78,71.6,100.0,22-05-2025 13:07:50,1
227.05,47.7,81.2,8324.72,71.6,100.0,22-05-2025 13:07:50,1
227.05,47.7,23.5,8323.3,71.6,100.0,22-05-2025 13:07:50,1
227.05,47.7,25.0,8323.67,71.6,100.0,22-05-2025 13:07:50,1
227.05,47.7,26.3,8324.04,71.6,100.0,22-05-2025 13:07:50,1
227.05,47.7,0.0,8324.61,71.6,100.0,22-05-2025 13:07:50,1
227.05,47.7,18.8,8323.64,71.6,100.0,22-05-2025 13:07:50,1
227.05,47.7,75.0,8337.31,71.8,100.0,22-05-2025 13:07:50,1
227.05,47.7,12.5,8337.41,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,23.1,8322.84,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,44.4,8322.69,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,0.0,8323.26,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,18.8,8323.39,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,18.8,8323.23,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,44.4,8323.37,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,13.3,8323.59,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,0.0,8323.19,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,29.4,8323.51,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,31.2,8322.86,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,54.5,8322.78,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,21.4,8324.29,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,37.5,8322.79,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,0.0,8322.91,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,18.8,8322.84,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,12.5,8325.38,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,27.3,8324.92,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,0.0,8324.84,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,18.8,8324.72,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,6.2,8324.7,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,9.1,8322.8,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,0.0,8322.7,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,18.8,8322.63,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,6.2,8322.55,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,14.3,8322.48,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,0.0,8322.43,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,12.5,8322.42,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,31.2,8321.25,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,25.0,8321.17,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,28.6,8321.09,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,0.0,8321.09,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,18.8,8321.14,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,27.3,8321.09,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,21.4,8321.01,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,0.0,8321.01,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,31.2,8320.9,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,23.5,8320.96,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,15.4,8320.96,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,0.0,8320.94,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,43.8,8320.91,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,6.2,8321.2,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,6.7,8321.2,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,0.0,8320.57,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,18.8,8320.57,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,25.0,8320.77,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,14.3,8320.54,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,20.0,8320.34,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,9.1,8320.33,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,18.8,8320.39,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,12.5,8320.34,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,33.3,8320.21,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,0.0,8320.35,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,25.0,8317.65,71.5,100.0,22-05-2025 13:07:51,1
227.05,47.7,29.4,8317.85,71.5,100.0,22-05-2025 13:07:51,1
227.05,47.7,40.0,8317.74,71.5,100.0,22-05-2025 13:07:51,1
227.05,47.7,0.0,8317.8,71.5,100.0,22-05-2025 13:07:51,1
227.05,47.7,12.5,8318.8,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,18.8,8319.9,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,30.8,8320.68,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,0.0,8321.03,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,37.5,8320.64,71.6,100.0,22-05-2025 13:07:51,1
